name,rSeason,r3Ptstat,nbaServicableShooter,rAge,rG,rGS,rMP,rFG,rFGA,r2P,r2PA,r3P,r3PA,rFT,rFTA,rPTS,r3PpG,r3PApG,r3Pp36,r3PAp36,rFG%,r2P%,r3P%,rFT%,rTS%,reFG%,rUsgPct,r3Pp100,r3PAp100,season,3PtStat,collegeServicableShooter,age,class,height,school,conf,role,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sseason,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sseason,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
AJ Griffin,2022,1.156926964,TRUE,19,72,12,1401,248,533,147,274,101,259,42,47,639,1.403,3.597,2.595,6.655,0.465,0.536,0.39,0.894,0.577,0.56,17.9,3.4,8.8,2021,1.411320798,TRUE,18,Fr,78,Duke,ACC,Wing G,1595,3.5,3.2,309,16.9,61.3,63,8,10,42,58,0.724,33,79,0.418,42,53,0.792,75,137,0.547,53.7,71,4.451410658,159,9.968652038,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,5.15,3.38,4.27,122.6,29.1
Immanuel Quickley,2020,1.358718587,TRUE,21,64,3,1243,229,580,111,277,118,303,155,174,731,1.844,4.734,3.418,8.776,0.395,0.401,0.389,0.891,0.557,0.497,25.6,4.7,12.2,2019,1.275365538,TRUE,20,So,75,Kentucky,SEC,Wing G,1633,2.3,2.3,246,22.2,51.1,59.5,1,1,24,50,0.48,52,136,0.382,144,156,0.923,76,186,0.409,43.8,62,3.796693203,145,8.879363135,0.428,2018,19,15,47.3,54.1,1,1,14,19,0.737,11,42,0.262,53,64,0.828,25,61,0.41,58.8,30,87,0.345,,,,,,,,,,,,,,,,,,,,,,,,3.77,4.97,2.49,2.89,114.1,23.9
Tyler Herro,2019,1.205272417,TRUE,20,55,8,1508,270,631,154,333,116,298,87,100,743,2.109,5.418,2.769,7.114,0.428,0.462,0.389,0.87,0.55,0.52,22.3,3.8,9.6,2018,1.040565746,TRUE,19,Fr,77,Kentucky,SEC,Wing G,1967,2.1,2.3,348,20,53.6,58,4,5,56,84,0.667,70,150,0.467,87,93,0.935,126,234,0.538,41.9,60,3.050330452,169,8.591764108,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,5.01,2.28,3.68,116.4,29.6
Blake Wesley,2022,0.740562286,FALSE,19,37,1,669,69,215,49,163,20,52,26,44,184,0.541,1.405,1.076,2.798,0.321,0.301,0.385,0.591,0.393,0.367,18.5,1.4,3.7,2021,0.969779821,TRUE,18,Fr,77,Notre Dame,ACC,Combo G,1668,1.9,3,67,30.7,46.2,49.4,18,20,82,160,0.512,38,98,0.388,94,141,0.667,120,257,0.467,40.1,52,3.117505995,172,10.3117506,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.89,2.33,3.29,110.1,14.2
Kevin Huerter,2018,1.088944443,TRUE,20,75,59,2048,275,657,139,304,136,353,41,56,727,1.813,4.707,2.391,6.205,0.419,0.457,0.385,0.732,0.533,0.522,15.7,3.1,8,2017,1.384558982,TRUE,19,So,79,Maryland,B10,Wing G,1511,2.6,1.6,213,21.5,61.1,63.6,5,5,54,76,0.711,32,67,0.478,74,97,0.763,87,145,0.6,53.8,70,4.63269358,169,11.18464593,0.414,2016,18,16.4,54.3,55.4,5,5,27,43,0.628,16,42,0.381,20,28,0.714,42,85,0.494,66.5,64,169,0.379,,,,,,,,,,,,,,,,,,,,,,,,3.92,6.13,3.51,3.95,114.4,24.3
Trey Lyles,2015,0.847806641,TRUE,20,80,33,1382,191,436,142,308,49,128,57,82,488,0.613,1.6,1.276,3.334,0.438,0.461,0.383,0.695,0.517,0.494,17.9,1.9,4.9,2014,0.204391277,FALSE,19,Fr,82,Kentucky,SEC,PF/C,1322,3.7,3.6,271,20.6,49.6,54.3,28,30,69,88,0.784,44,123,0.358,75,102,0.735,113,211,0.536,12.1,4,0.302571861,29,2.193645991,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,56.9,60,1,2,67,114,0.588,47,98,0.48,87,112,0.777,114,212,0.538,44.5,69,170,0.406,3.4,6.62,2.52,3.65,110.7,19.7
Saddiq Bey,2020,1.305342867,TRUE,21,70,53,1909,279,691,104,231,175,460,124,147,857,2.5,6.571,3.3,8.675,0.404,0.45,0.38,0.844,0.567,0.53,18.7,4.5,11.8,2019,1.401962319,TRUE,20,So,80,Villanova,BE,Wing F,1811,2.8,2.1,242,22,58.4,60.8,18,21,66,105,0.629,30,87,0.345,70,91,0.769,96,192,0.5,47.7,79,4.362230812,175,9.66316952,0.451,2018,19,14.4,56.1,57.1,19,21,44,64,0.688,16,43,0.372,29,45,0.644,60,107,0.561,55,49,131,0.374,,,,,,,,,,,,,,,,,,,,,,,,3.93,5.21,3.13,3.42,107.1,11.8
PJ Washington,2019,0.960823397,TRUE,21,58,57,1759,268,589,182,359,86,230,88,136,710,1.483,3.966,1.76,4.707,0.455,0.507,0.374,0.647,0.547,0.528,18.6,2.4,6.6,2018,0.904743511,TRUE,20,So,80,Kentucky,SEC,PF/C,1705,4.1,2.2,353,25.4,56.7,59.2,33,37,90,137,0.657,67,149,0.45,118,178,0.663,157,286,0.549,21.4,33,1.935483871,78,4.574780059,0.423,2017,19,21.3,52.7,55.8,40,41,99,150,0.66,30,87,0.345,126,208,0.606,129,238,0.542,8.1,5,21,0.238,,,,,,,,,,,,,,,,,,,,,,,,4.28,7.09,2.69,4.39,118.7,32.6
Chet Holmgren,2023,0.967449637,TRUE,21,21,21,631,127,245,94,156,33,89,72,82,359,1.571,4.238,1.883,5.078,0.518,0.603,0.371,0.878,0.639,0.586,22.1,2.5,6.8,2021,1.006018013,TRUE,19,Fr,85,Gonzaga,WCC,PF/C,1578,5,2.2,537,21.4,68,69.1,57,57,105,125,0.84,24,50,0.48,71,99,0.717,129,175,0.737,37.5,41,2.598225602,105,6.653992395,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,9.08,3.99,6.49,123.3,41.2
Aaron Nesmith,2020,1.03995673,TRUE,21,46,1,669,78,178,38,70,40,108,22,28,218,0.87,2.348,2.152,5.812,0.438,0.543,0.37,0.786,0.573,0.551,13.7,2.9,7.9,2019,1.860780446,TRUE,20,So,78,Vanderbilt,SEC,Wing G,905,3.3,1,56,23.7,65.9,68.5,6,6,29,52,0.558,16,38,0.421,52,63,0.825,45,90,0.5,56.1,60,6.629834254,115,12.70718232,0.522,2018,19,19.8,49.3,53.6,11,11,42,70,0.6,13,46,0.283,66,80,0.825,55,116,0.474,60.1,59,175,0.337,,,,,,,,,,,,,,,,,,,,,,,,2.65,3.49,2.94,3.23,104.5,3.9
Chris Duarte,2021,1.050192411,TRUE,24,55,39,1541,268,621,174,366,94,255,90,112,720,1.709,4.636,2.196,5.957,0.432,0.475,0.369,0.804,0.537,0.507,21.1,3,8.1,2020,1.311967825,TRUE,23,Sr,78,Oregon,P12,Wing G,1504,2.5,1.5,220,22.5,63.3,65.7,14,15,63,90,0.7,36,67,0.537,64,79,0.81,99,157,0.631,47.8,61,4.055851064,144,9.574468085,0.424,2019,22,22.7,49.2,52.9,11,12,63,110,0.573,16,54,0.296,62,78,0.795,79,164,0.482,46.1,47,140,0.336,,,,,,,,,,,,,,,,,,,,,,,,4.41,6.49,3.17,4.72,113.3,13.6
Shai Gilgeous-Alexander,2018,0.635662646,FALSE,20,82,73,2174,341,716,290,577,51,139,156,195,889,0.622,1.695,0.845,2.302,0.476,0.503,0.367,0.8,0.554,0.512,18.3,1.1,3,2017,0.67764006,FALSE,19,Fr,78,Kentucky,SEC,Scoring PG,2026,1.1,1,172,22.8,51.6,57.9,11,11,108,182,0.593,52,138,0.377,143,174,0.822,160,320,0.5,15.1,23,1.135241856,57,2.813425469,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,4.49,3.07,4.79,113.1,21.8
Joel Embiid,2016,0.906423135,TRUE,22,31,31,786,200,429,164,331,36,98,191,244,627,1.161,3.161,1.649,4.489,0.466,0.495,0.367,0.783,0.584,0.508,36,2.2,6.1,2013,0.134473725,FALSE,19,Fr,85,Kansas,B12,C,1106,5,2.2,200,24.4,62.9,65.5,30,30,80,99,0.808,25,65,0.385,98,143,0.685,106,166,0.639,2.9,1,0.090415913,5,0.452079566,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,6.52,2.73,5.91,114.3,16.3
Kyle Kuzma,2017,1.073322691,TRUE,22,77,37,2401,468,1039,309,605,159,434,147,208,1242,2.065,5.636,2.384,6.507,0.45,0.511,0.366,0.707,0.549,0.527,22.5,3.2,8.6,2016,0.741698201,TRUE,21,Jr,81,Utah,P12,PF/C,1461,4.5,2.5,165,26.7,53.9,56.3,13,13,106,153,0.693,36,101,0.356,81,121,0.669,142,255,0.557,23.4,25,1.711156742,78,5.338809035,0.321,2015,20,24.6,54.6,55.8,13,18,117,168,0.696,18,65,0.277,61,102,0.598,135,234,0.577,17.3,13,49,0.265,,,,,,,,,,,,,,,,,,,,,,,,3.73,4.4,3.62,3.64,111.1,10.8
Bones Hyland,2021,1.339779982,TRUE,21,69,4,1310,230,571,99,213,131,358,107,125,698,1.899,5.188,3.6,9.838,0.403,0.465,0.366,0.856,0.558,0.518,23.8,4.9,13.4,2020,1.442119852,TRUE,20,So,75,VCU,A10,Combo G,1231,2.4,1.3,164,28.7,54.9,59.6,4,4,66,101,0.653,17,53,0.321,94,109,0.862,83,154,0.539,54.7,69,5.605199025,186,15.10966694,0.371,2019,19,21,56.9,57.5,1,1,30,55,0.545,7,31,0.226,16,24,0.667,37,86,0.43,62.8,63,145,0.434,,,,,,,,,,,,,,,,,,,,,,,,2.33,4.86,1.27,2.19,101.8,12.9
Rodney Hood,2014,1.064148721,TRUE,22,50,21,1064,155,374,93,204,62,170,61,80,433,1.24,3.4,2.098,5.752,0.414,0.456,0.365,0.763,0.529,0.497,19.6,3.1,8.5,2013,1.268054086,TRUE,21,So,80,Duke,ACC,Wing F,1854,2.8,2.6,282,22.3,55,59,14,16,47,74,0.635,73,168,0.435,109,135,0.807,120,243,0.494,41,71,3.829557713,169,9.115426106,0.42,2011,19,16.1,52.4,53.5,5,6,20,30,0.667,60,128,0.469,27,41,0.659,80,158,0.506,44.9,47,129,0.364,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.77,3.98,4.23,119,13.7
Jaden McDaniels,2020,0.906352691,TRUE,20,63,27,1511,164,367,92,169,72,198,27,45,427,1.143,3.143,1.715,4.717,0.447,0.544,0.364,0.6,0.552,0.545,12,2.3,6.2,2019,0.942503078,TRUE,19,Fr,81,Washington,P12,Stretch 4,1643,3.5,2.7,122,25.2,46.9,51.5,16,20,38,68,0.559,55,141,0.39,87,114,0.763,93,209,0.445,37.8,43,2.617163725,127,7.729762629,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.93,0.41,1.6,101.5,13.4
Moses Moody,2021,1.0797985,TRUE,19,52,11,607,80,183,40,73,40,110,28,36,228,0.769,2.115,2.372,6.524,0.437,0.548,0.364,0.778,0.573,0.546,15.2,3.2,8.8,2020,1.008847333,TRUE,18,Fr,78,Arkansas,SEC,Wing G,2040,3.2,2.9,306,21.6,50.3,56.8,10,11,62,110,0.564,45,114,0.395,151,186,0.812,107,224,0.478,42,58,2.843137255,162,7.941176471,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,4.8,2.52,3.07,108.3,13.4
Lauri Markkanen,2017,1.127442593,TRUE,20,68,68,2020,374,862,229,461,145,401,140,166,1033,2.132,5.897,2.584,7.147,0.434,0.497,0.362,0.843,0.552,0.518,21.9,3.5,9.7,2016,1.275037477,TRUE,19,Fr,85,Arizona,P12,Stretch 4,1794,4.3,2.7,323,21.5,58.4,63.5,20,24,65,100,0.65,51,113,0.451,137,164,0.835,116,213,0.545,43.4,69,3.846153846,163,9.085841695,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,5.45,4.41,4.75,119.2,27.5
Tyler Dorsey,2017,1.144744513,TRUE,21,56,5,974,144,382,72,183,72,199,45,63,405,1.286,3.554,2.661,7.355,0.377,0.393,0.362,0.714,0.494,0.471,20,3.6,10,2016,1.364190682,TRUE,20,So,76,Oregon,P12,Wing G,1961,2.5,2.7,375,21.5,57.4,60.5,5,5,74,117,0.632,25,77,0.325,103,137,0.752,99,194,0.51,51.1,86,4.385517593,203,10.3518613,0.424,2015,19,21.6,53.1,56.7,0,0,61,102,0.598,21,73,0.288,100,141,0.709,82,175,0.469,48.2,65,163,0.399,,,,,,,,,,,,,,,,,,,,,,,,4.06,5.48,3.52,3.74,113.4,17
Tre Mann,2021,1.121213628,TRUE,20,60,26,1367,231,588,133,316,98,272,65,82,625,1.633,4.533,2.581,7.163,0.393,0.421,0.36,0.793,0.501,0.476,22,3.5,9.7,2020,1.148990233,TRUE,19,So,77,Florida,SEC,Wing G,1371,2.2,1.2,100,25.9,53.6,57.9,0,0,46,77,0.597,47,111,0.423,74,89,0.831,88,178,0.494,38.6,45,3.282275711,112,8.169219548,0.402,2019,18,19.8,42.5,44.6,0,1,18,30,0.6,17,52,0.327,19,29,0.655,35,80,0.438,50,22,80,0.275,,,,,,,,,,,,,,,,,,,,,,,,2.35,4.32,2.46,3.73,109.6,19.2
Jaren Jackson Jr.,2018,0.778293454,TRUE,19,58,56,1515,298,589,247,447,51,142,151,197,798,0.879,2.448,1.212,3.374,0.506,0.553,0.359,0.766,0.591,0.549,22.8,1.7,4.7,2017,1.09480301,TRUE,18,Fr,83,Michigan St.,B10,PF/C,1256,3.4,4.6,184,22.8,59.5,64.7,31,31,61,93,0.656,20,43,0.465,106,133,0.797,81,136,0.596,41.4,38,3.025477707,96,7.643312102,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,6.41,3.36,5.56,114.6,24.6
De'Andre Hunter,2019,0.939241715,TRUE,22,63,62,2018,280,683,172,379,108,304,110,144,778,1.714,4.825,1.927,5.423,0.41,0.454,0.355,0.764,0.521,0.489,17.5,2.5,7,2018,1.092725854,TRUE,21,So,79,Virginia,ACC,Wing F,1687,3.2,2.2,492,23.5,57.9,61.8,19,19,92,133,0.692,67,156,0.429,123,157,0.783,159,289,0.55,26.6,46,2.726733847,105,6.22406639,0.438,2017,20,25.4,53.8,58.4,8,9,45,75,0.6,38,82,0.463,74,98,0.755,83,158,0.525,25.8,21,55,0.382,,,,,,,,,,,,,,,,,,,,,,,,5.69,8.38,3.63,4.25,125.2,42.7
Franz Wagner,2021,0.822621663,TRUE,20,79,79,2429,456,975,360,704,96,271,189,219,1197,1.215,3.43,1.423,4.016,0.468,0.511,0.354,0.863,0.559,0.517,21.2,1.9,5.4,2020,0.89562954,TRUE,19,So,81,Michigan,B10,Wing F,1496,3,2.7,337,19.4,54.4,58.6,11,11,63,93,0.677,26,65,0.4,66,79,0.835,89,158,0.563,39.2,35,2.339572193,102,6.818181818,0.343,2019,18,18.6,53.4,56.6,8,8,65,97,0.67,7,21,0.333,45,54,0.833,72,118,0.61,52.8,41,132,0.311,,,,,,,,,,,,,,,,,,,,,,,,3.7,7.91,3.34,6.1,117.7,34.1
Coby White,2019,1.163362712,TRUE,19,65,1,1674,312,792,179,416,133,376,102,129,859,2.046,5.785,2.86,8.086,0.394,0.43,0.354,0.791,0.506,0.478,24.4,3.8,10.8,2018,1.262935981,TRUE,18,Fr,77,North Carolina,ACC,Combo G,1810,1.6,1.7,324,26.1,51.6,55.6,5,6,66,99,0.667,40,112,0.357,104,130,0.8,106,211,0.502,52.5,82,4.53038674,233,12.87292818,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,5.36,2.82,4,118.1,31.8
Abdel Nader,2017,0.881452892,TRUE,24,48,1,522,50,149,27,84,23,65,23,39,146,0.479,1.354,1.586,4.483,0.336,0.321,0.354,0.59,0.439,0.413,17.1,2.2,6.2,2015,1.007073405,TRUE,22,Sr,78,Iowa St.,B12,Wing G,1900,3.3,3.5,133,20.7,55.5,58.4,26,27,76,110,0.691,33,87,0.379,78,106,0.736,109,197,0.553,41.5,52,2.736842105,140,7.368421053,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.97,2.45,3.7,112.5,6.3
Jeremiah Robinson-Earl,2021,0.957543524,TRUE,21,49,36,1087,134,324,76,159,58,165,40,54,366,1.184,3.367,1.921,5.465,0.414,0.478,0.352,0.741,0.526,0.503,15.4,2.6,7.4,2020,0.670966526,FALSE,20,So,81,Villanova,BE,Stretch 4,1428,4.4,2.9,198,24.1,53.4,55.8,23,25,88,121,0.727,44,108,0.407,60,84,0.714,132,230,0.574,26.3,23,1.610644258,82,5.742296919,0.28,2019,19,19.8,49.6,55.2,16,18,75,121,0.62,17,64,0.266,79,97,0.814,92,185,0.497,25.7,21,64,0.328,,,,,,,,,,,,,,,,,,,,,,,,4,6.08,3.37,4.2,112.5,13.5
D'Angelo Russell,2015,1.005111039,TRUE,19,80,48,2259,392,956,262,586,130,370,140,190,1054,1.625,4.625,2.072,5.896,0.41,0.447,0.351,0.737,0.507,0.478,24.1,2.9,8.2,2014,1.442988994,TRUE,18,Fr,77,Ohio St.,B10,Scoring PG,1874,2,1,322,29.9,54.1,57.3,4,4,70,110,0.636,66,174,0.379,118,156,0.756,136,284,0.479,44.9,95,5.069370331,231,12.32657417,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,6.48,4.84,6.41,115.8,26.1
Chuma Okeke,2020,0.859496597,TRUE,22,45,19,1133,135,324,86,183,49,141,30,40,349,1.089,3.133,1.557,4.48,0.417,0.47,0.348,0.75,0.511,0.492,14.5,2.1,6.1,2018,1.048899478,TRUE,20,So,80,Auburn,SEC,Stretch 4,1902,4.1,2.7,309,20.9,57.7,59.8,24,26,93,133,0.699,20,64,0.313,65,90,0.722,113,197,0.574,41.4,54,2.839116719,139,7.30809674,0.388,2017,19,16.4,54.2,56.1,12,15,50,82,0.61,8,33,0.242,37,55,0.673,58,114,0.509,43.3,34,87,0.391,,,,,,,,,,,,,,,,,,,,,,,,4.13,6.48,3.31,5.03,118.7,28.7
Jonathan Isaac,2017,0.713187773,TRUE,20,27,10,536,55,145,39,99,16,46,19,25,145,0.593,1.704,1.075,3.09,0.379,0.394,0.348,0.76,0.465,0.434,15,1.5,4.2,2016,0.829089124,TRUE,19,Fr,82,Florida St.,ACC,Stretch 4,1568,4.8,3,217,20,56.8,61.4,34,39,73,107,0.682,26,60,0.433,92,118,0.78,99,167,0.593,34.8,31,1.977040816,89,5.676020408,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,5.96,2.42,4.69,112.4,12.4
Devin Vassell,2020,0.911494432,TRUE,20,62,7,1056,123,303,71,153,52,150,43,51,341,0.839,2.419,1.773,5.114,0.406,0.464,0.347,0.843,0.524,0.492,14.3,2.4,6.9,2019,1.127518845,TRUE,19,So,79,Florida St.,ACC,Wing G,1436,3.2,2.6,235,18.9,56.5,58.5,26,28,51,73,0.699,49,115,0.426,48,65,0.738,100,188,0.532,36.1,44,3.064066852,106,7.381615599,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,6.33,2.67,3.98,104.8,15.6
Nickeil Alexander-Walker,2019,1.115816472,TRUE,21,47,1,591,98,266,52,133,46,133,25,37,267,0.979,2.83,2.802,8.102,0.368,0.391,0.346,0.676,0.473,0.455,23.3,3.6,10.4,2018,1.06541981,TRUE,20,So,77,Virginia Tech,ACC,Scoring PG,1910,1.7,1.5,335,26.4,54.6,58.6,12,12,91,150,0.607,41,96,0.427,112,144,0.778,132,246,0.537,38.7,58,3.036649215,155,8.115183246,0.374,2017,19,21,55.4,57.5,4,4,61,103,0.592,5,25,0.2,46,63,0.73,66,128,0.516,53.6,58,148,0.392,,,,,,,,,,,,,,,,,,,,,,,,3.11,5.4,1.78,3.31,116.8,26.6
Omari Spellman,2018,0.929436819,TRUE,21,46,11,805,98,244,54,116,44,128,32,45,272,0.957,2.783,1.968,5.724,0.402,0.466,0.344,0.711,0.516,0.492,14.9,2.5,7.3,2017,1.242393983,TRUE,20,Fr,80,Villanova,BE,PF/C,1822,5,4.3,397,17.9,57.3,58.8,26,35,59,103,0.573,36,81,0.444,49,70,0.7,95,186,0.511,44.6,65,3.567508233,150,8.232711306,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,6.52,3.99,5.91,128.6,36.3
Tari Eason,2022,0.74360628,TRUE,21,82,5,1767,296,660,237,488,59,172,109,145,760,0.72,2.098,1.202,3.504,0.448,0.486,0.343,0.752,0.525,0.493,19.3,1.6,4.7,2021,0.830353438,TRUE,20,So,80,LSU,SEC,Wing F,1458,4.4,1,267,30.8,55.9,61.5,47,48,137,213,0.643,25,74,0.338,151,188,0.803,162,287,0.564,21.4,28,1.920438957,78,5.349794239,0.359,2020,19,24.4,49.3,50.8,17,22,52,89,0.584,8,26,0.308,27,47,0.574,60,116,0.517,20.5,8,30,0.267,,,,,,,,,,,,,,,,,,,,,,,,2.74,6.52,3.07,4.96,103.7,16.7
Devin Booker,2015,0.887833487,TRUE,19,76,51,2108,367,867,268,578,99,289,215,256,1048,1.303,3.803,1.691,4.935,0.423,0.464,0.343,0.84,0.535,0.48,23,2.3,6.7,2014,1.353566827,TRUE,18,Fr,78,Kentucky,SEC,Wing G,1300,2.2,2.6,328,20.5,57.1,60,8,9,42,59,0.712,35,88,0.398,53,64,0.828,77,146,0.527,49.1,58,4.461538462,141,10.84615385,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,6.25,3.36,3.37,114.7,24
Jaden Ivey,2022,0.933060877,TRUE,20,74,73,2304,409,983,289,633,120,350,266,356,1204,1.622,4.73,1.875,5.469,0.416,0.457,0.343,0.747,0.528,0.477,25.4,2.5,7.4,2021,1.097680806,TRUE,19,So,76,Purdue,B10,Wing G,1904,2.6,2.2,321,27.7,53.4,58,28,31,110,162,0.679,29,100,0.29,154,207,0.744,139,261,0.533,40.7,64,3.361344538,179,9.401260504,0.358,2020,18,25.5,45.5,49.7,7,9,52,83,0.627,12,43,0.279,53,73,0.726,64,126,0.508,43.5,25,97,0.258,,,,,,,,,,,,,,,,,,,,,,,,5.34,6.15,4,5.29,123.6,27.7
Kevin Knox,2018,0.976195114,TRUE,19,75,57,2158,338,914,213,550,125,364,162,226,963,1.667,4.853,2.085,6.072,0.37,0.387,0.343,0.717,0.475,0.438,22.3,2.8,8.1,2017,1.007523372,TRUE,18,Fr,81,Kentucky,SEC,Wing F,1913,3,3,177,23,51.1,55.7,18,20,65,99,0.657,75,174,0.431,127,164,0.774,140,274,0.511,37.9,57,2.979613173,167,8.729743858,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,3.91,2.14,3.17,112.9,22.4
Malik Monk,2017,1.275068469,TRUE,19,63,0,854,153,425,70,182,83,243,32,38,421,1.317,3.857,3.499,10.244,0.36,0.385,0.342,0.842,0.477,0.458,24.9,4.7,13.9,2016,1.353518501,TRUE,18,Fr,75,Kentucky,SEC,Combo G,2254,1.9,2.1,355,25.1,54.3,58.6,24,28,72,111,0.649,75,187,0.401,148,180,0.822,147,296,0.497,47,104,4.614019521,262,11.62377995,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,5.54,3.34,3.88,117.3,28.5
Karl-Anthony Towns,2015,0.444609604,FALSE,20,82,82,2627,625,1153,595,1065,30,88,223,275,1503,0.366,1.073,0.411,1.206,0.542,0.559,0.341,0.811,0.59,0.555,24.9,0.6,1.7,2014,0.192735836,FALSE,19,Fr,83,Kentucky,SEC,C,1346,5,2.2,276,24.2,57,62.7,22,24,87,121,0.719,56,128,0.438,109,134,0.813,143,248,0.577,3.1,2,0.14858841,8,0.59435364,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,7.42,3.48,5.79,108,17.4
Jaylen Brown,2016,0.76249918,TRUE,20,78,20,1341,192,423,146,288,46,135,85,124,515,0.59,1.731,1.235,3.624,0.454,0.507,0.341,0.685,0.539,0.508,18.1,1.7,5,2015,0.738173003,FALSE,19,Fr,79,California,P12,Wing F,1618,2.9,2.4,243,30.9,47.1,51.8,21,25,98,160,0.613,35,116,0.302,142,217,0.654,133,276,0.482,27,30,1.854140915,102,6.30407911,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,4.97,1.14,2.68,108,13.5
Zach LaVine,2014,0.723370237,TRUE,19,77,40,1902,286,677,229,510,57,167,149,177,778,0.74,2.169,1.079,3.161,0.422,0.449,0.341,0.842,0.515,0.465,22,1.5,4.5,2013,1.111873975,TRUE,18,Fr,77,UCLA,P12,Wing G,1456,2.4,3.6,159,19,52.4,54.5,21,25,51,90,0.567,28,68,0.412,47,68,0.691,79,160,0.494,44.4,48,3.296703297,128,8.791208791,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.79,2.41,2.95,111.6,8.3
John Collins,2017,0.387659645,FALSE,20,74,26,1785,314,545,298,498,16,47,133,186,777,0.216,0.635,0.323,0.948,0.576,0.598,0.34,0.715,0.62,0.591,17.9,0.4,1.3,2016,0,FALSE,19,So,82,Wake Forest,ACC,C,1597,5,1.9,213,29.2,62.2,65.8,59,62,168,223,0.753,66,149,0.443,164,220,0.745,234,375,0.624,0.3,0,0,1,0.062617408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,6.34,4.5,6.19,119.5,11.9
Keon Johnson,2021,0.899555446,TRUE,19,37,12,697,96,272,62,172,34,100,41,51,267,0.919,2.703,1.756,5.165,0.353,0.36,0.34,0.804,0.453,0.415,21.2,2.4,7,2020,0.540426049,FALSE,18,Fr,77,Tennessee,SEC,Wing G,1207,2.3,2.4,76,27.3,47.4,51.7,15,20,54,93,0.581,44,106,0.415,71,101,0.703,97,198,0.49,19.5,13,1.077050539,48,3.976801988,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,2.33,1.05,2.09,104.6,16.5
